,ListingNumber,Term,BorrowerAPR,BorrowerRate,LenderYield,EstimatedEffectiveYield,EstimatedLoss,EstimatedReturn,ProsperRating (numeric),ProsperScore,ListingCategory (numeric),EmploymentStatusDuration,IsBorrowerHomeowner,CurrentlyInGroup,CreditScoreRangeLower,CreditScoreRangeUpper,CurrentCreditLines,OpenCreditLines,TotalCreditLinespast7years,OpenRevolvingAccounts,OpenRevolvingMonthlyPayment,InquiriesLast6Months,TotalInquiries,CurrentDelinquencies,AmountDelinquent,DelinquenciesLast7Years,PublicRecordsLast10Years,PublicRecordsLast12Months,RevolvingCreditBalance,BankcardUtilization,AvailableBankcardCredit,TotalTrades,TradesNeverDelinquent (percentage),TradesOpenedLast6Months,DebtToIncomeRatio,IncomeVerifiable,StatedMonthlyIncome,TotalProsperLoans,TotalProsperPaymentsBilled,OnTimeProsperPayments,ProsperPaymentsLessThanOneMonthLate,ProsperPaymentsOneMonthPlusLate,ProsperPrincipalBorrowed,ProsperPrincipalOutstanding,ScorexChangeAtTimeOfListing,LoanCurrentDaysDelinquent,LoanFirstDefaultedCycleNumber,LoanMonthsSinceOrigination,LoanNumber,LoanOriginalAmount,MonthlyLoanPayment,LP_CustomerPayments,LP_CustomerPrincipalPayments,LP_InterestandFees,LP_ServiceFees,LP_CollectionFees,LP_GrossPrincipalLoss,LP_NetPrincipalLoss,LP_NonPrincipalRecoverypayments,PercentFunded,Recommendations,InvestmentFromFriendsCount,InvestmentFromFriendsAmount,Investors
ProsperPrincipalBorrowed,0.2525826575438902,0.1304928258074143,-0.2062091362282549,-0.20646117654082852,-0.20672534975267068,-0.14334979515037732,-0.20575423694642891,-0.1673691683416712,0.22698372108434645,0.19468503804848283,-0.042385901080798774,0.07975985868313187,0.1485006848712855,-0.001707805312454668,0.23186318820430646,0.23186318820430646,0.14221022013206996,0.15456066590104456,0.11516862541328349,0.1314585417356005,0.1881431118469635,-0.0248247714519138,-0.028438407401986034,-0.08894997574441901,0.006080494027884564,-0.0978485914117289,-0.07626947747974389,-0.019098582321830083,0.14978933984768736,-0.04411622258075929,0.158976481299212,0.16065366515709953,0.19761822143155403,0.00030684176296917127,0.007387955238227516,0.009526329502179331,0.26771093275893176,0.543333339411799,0.3690019245532564,0.36793569031029777,0.06664395836318843,0.020905203811452423,1.0,0.4983513073576621,-0.061890176817947964,-0.07688500937922457,-0.0935578179950056,-0.23530210986828567,0.2605298346137026,0.3822678384141367,0.3397238140904819,0.10167155121390135,0.1035853504852736,0.04791653760359678,-0.13899816402285262,0.029809661342906097,-0.011865531634513088,-0.010005778151821522,-0.023570035202317662,-0.003300758688937338,0.015277563805775824,-0.00910880993555099,0.002838883383333424,0.14312394264828585
ProsperPrincipalOutstanding,0.16424845995954618,0.15337171221917567,-0.09034745378583196,-0.08568468372540083,-0.0857902484724481,-0.012066958768804094,-0.11472840731554074,-0.04872691170146025,0.10915391630607857,0.03442193578573263,-0.02138189274356274,0.04914984008174652,0.09960743422448967,-0.08370199758347217,0.09695441370727041,0.09695441370727041,0.12238575733131697,0.15499415929330046,0.0493493530238218,0.11737649645536348,0.16504554789733278,-0.020213203480475925,-0.009485094083191562,-0.06174979189888397,-0.015102931565358765,-0.06986461533297571,-0.02041320653509567,-0.0001059004517617189,0.119465341039929,-0.004441202513103503,0.10490113565407301,0.07676794745724456,0.12499030126697848,0.005338331280149714,0.051572166454533996,0.0390509882827597,0.17245232332058147,0.051970415952590644,-0.06353844952410656,-0.0590469466895671,-0.037720320226811654,-0.03450795214528046,0.4983513073576621,1.0,-0.19532548549131828,0.01724084848596053,-0.14409840417461783,-0.14163600581660843,0.17900313518497268,0.2061378496448584,0.17031099510063408,-0.01174595556240573,-0.024044404781692338,0.03303917811258988,-0.06901204061788946,-0.0054168338496136835,0.04865247075558472,0.04897122422876299,0.003311962397069957,-0.005053332234723358,-0.03670902964904771,-0.018160873537001947,-0.008924133541971002,0.044921572690085475
ScorexChangeAtTimeOfListing,-0.12640922437626978,-0.048156926858593706,-0.23196150804298263,-0.21715466957731422,-0.2170563415756315,-0.33995738917385143,-0.16992528503483095,-0.20460309025544807,0.21786987878471062,0.2541766081939761,-0.02642858874595976,-0.026440459945563065,-0.04468132379005569,0.1439349235638788,0.317179597578452,0.317179597578452,-0.02526951725019947,-0.044325825263927233,-0.035210460217269555,-0.03452579760407337,-0.1107421677270807,-0.04384764229639732,-0.010414222111157086,-0.04106635748384186,-0.03260061969230977,0.0037726289573044645,0.016181926053979178,-0.005143533325198223,-0.0931910505503788,-0.19370062654741618,0.033386294039724124,-0.04729611891515847,-0.05228942368337335,-0.05611258186357477,-0.059115980501944,0.04313396852969368,-0.00597766102640617,0.03846254118272042,0.13003638109362248,0.1278043452595698,0.03636142503417452,0.015748046910274288,-0.061890176817947964,-0.19532548549131828,1.0,0.010810358336156796,0.18732473936353833,0.16459288944654502,-0.14133836749035067,0.043865800367530315,0.005669314706672912,0.06721887167869806,0.08816237992151871,-0.03402852167485801,-0.05516298173990756,0.019411449369148317,-0.05165810797805684,-0.05220817187106336,0.0037648320779072853,0.003646445646634732,0.058997518658775436,0.028405742267853935,0.009080804141055896,0.15216910344657517
LoanCurrentDaysDelinquent,-0.3702261577164186,-0.13413431757169803,0.08803154048305491,0.13624360813772188,0.13183976040417905,0.13428767011854906,0.19532174428295218,0.22340881835615425,-0.17444982720171998,-0.03912070493780733,-0.10162945578337677,-0.07276768785847118,-0.04124032880835863,0.24865954015245917,-0.281306401685402,-0.281306401685402,-0.0702575144301178,-0.08725027218240686,-0.0475710084496023,-0.10901947693478665,-0.06796974609492414,0.28422407791783655,0.2870212724269659,0.21289518556870227,0.03070049185165866,0.08997227782327451,0.08996747301067996,0.05979472613452771,-0.023063126269264614,0.014750809255586533,-0.07462584833472616,-0.06975341000294802,-0.2172581679797007,0.11701344644055252,0.05492236485838065,0.0061483115796029586,-0.05031303923150041,-0.08813806885530419,-0.0981784720218502,-0.09996379500123963,-0.002733142567441121,-0.001670685368330061,-0.07688500937922457,0.01724084848596053,0.010810358336156796,1.0,0.09286812950333716,0.4193048074604891,-0.37040650401506503,-0.09702128972962171,-0.0544550782554572,-0.08340086340604692,-0.10059697661155725,0.008294965805469422,0.05495072874515334,-0.13377177190943443,0.5340582935241391,0.533929588268378,0.18314737658208108,0.009926082702104318,0.06342725193665796,0.03084338602591432,0.023621987428282403,0.08173447631699389
LoanFirstDefaultedCycleNumber,-0.15506228912305767,-0.07081917468470579,-0.18595560239172154,-0.17293577142801328,-0.17082495546348733,-0.1828873594918245,-0.07838648378019548,-0.021910144515005257,0.11240316018665428,0.16116678904882709,-0.08156486514348925,-0.006327537392255913,0.03095499965094528,0.04491267098764696,0.02294762105675379,0.02294762105675379,0.03608376714347505,0.027926402420672132,0.014614791445603643,0.03762842968644905,0.017588176709100675,-0.03331672461007271,0.004885885371293593,-0.0587011585332496,-0.026217144379899863,0.0025341198490700326,0.020576158708912974,0.026935015438215616,0.004134818198163035,0.046894540430939304,-0.016008771433943435,0.008077858197769327,-0.03963103824295445,-0.02568369069324322,-5.862193391624068e-05,0.049969527279754934,0.03408263450957332,-0.023035994084823572,0.07802121560389887,0.08758063101171178,-0.04317086033751156,-0.017348084773703438,-0.0935578179950056,-0.14409840417461783,0.18732473936353833,0.09286812950333716,1.0,0.1758883886952272,-0.17570684623899957,0.008308118129670788,-0.01094988396423,0.4841099036233207,0.48259624293427406,0.41334564724946093,-0.383058496513854,0.010582139275505189,-0.2637361517229578,-0.25764793451010953,-0.13394173915274368,0.009546688461799612,0.03955066852986317,0.034885117647557404,0.0176974089713329,0.06987530709564194
LoanMonthsSinceOrigination,-0.9391794050706371,-0.34213032902728774,-0.07377282950025224,0.020419565631935272,0.019154751917267492,0.06244294227273259,0.20191614402957012,0.37272723731148105,-0.16321265799883014,0.17761489112759185,-0.19865043431305904,-0.17159776867215346,-0.08619574078761584,0.48272713148823787,-0.33289399490383326,-0.33289399490383326,-0.12099774698704051,-0.16930841833414093,-0.13436378052604792,-0.21349349707207768,-0.16844890742592983,0.33296681522246213,0.3330754531351598,0.24787300024215037,0.013178529020131481,0.0821034415406059,0.05506991377712544,0.07877419972021234,-0.04167616321138808,-0.06349365024990895,-0.026704784851585128,-0.14038522062569872,-0.2764344395804422,0.10881803028896611,0.045446973036741015,0.04298839344716438,-0.08014726402108947,-0.20048760457182963,-0.17175868361904975,-0.16964871492011413,-0.044146515934007,-0.007644911301058557,-0.23530210986828567,-0.14163600581660843,0.16459288944654502,0.4193048074604891,0.1758883886952272,1.0,-0.9442155705372518,-0.30905756538740453,-0.25666097493907425,0.2959445458333323,0.3024046167879549,0.158185455992062,-0.08892150171707071,-0.10525371811160193,0.2512674600472383,0.2465672868200064,0.10753468996145232,0.013106449389258472,0.14697677758359626,0.11011405884847834,0.06533711006329329,0.2585900517831029
LoanNumber,0.9950947054928463,0.3356097049716387,-0.03626890175252501,-0.11872140555529834,-0.11795940242977886,-0.19387821399621938,-0.24082293762001186,-0.4527312419711889,0.207118868776508,-0.12093836131987241,0.12380340300795473,0.15937035932840427,0.07606755455386705,-0.4292109054761823,0.2646661712722232,0.2646661712722232,0.14804275050221713,0.1981345771627414,0.13208814699519622,0.23229962227386788,0.18405938205890904,-0.2931809071015312,-0.2759808355471517,-0.2258527654375899,-0.02190696327033163,-0.07435048317927453,-0.04279733074759194,-0.07196697729962176,0.05681447516187654,0.08554801103660346,0.0372143910380939,0.13761174231165874,0.25239261436730026,-0.08101879705987394,-0.03849465466726656,-0.018745557652715,0.07725871013710435,0.18101088361050155,0.12449886560701444,0.12472896645973675,0.021057837958607797,-0.005913917848765249,0.2605298346137026,0.17900313518497268,-0.14133836749035067,-0.37040650401506503,-0.17570684623899957,-0.9442155705372518,1.0,0.35086987001998,0.2857373830451069,-0.3828477075863446,-0.37017104207456525,-0.2769668997525378,0.2046511970071735,0.10614882347717165,-0.25044434418503125,-0.2461920784328155,-0.09695585097672285,0.018372073059790873,-0.12911946919454545,-0.09685635659320083,-0.05604673248693172,-0.28396332060927537
LoanOriginalAmount,0.3403600808146084,0.33892745773451693,-0.32288668996970254,-0.32895994993849814,-0.3284551073492601,-0.3272657134794812,-0.4298904027412943,-0.2861175065046045,0.4285572220315477,0.266293336187816,-0.12713005354940252,0.09814934720405478,0.2067866446266607,-0.114241174490845,0.3408744514783809,0.3408744514783809,0.20138332610950974,0.2236810980397164,0.14501220405916138,0.23312786135183416,0.26615449042014194,-0.10287834035899694,-0.07833333152919673,-0.17213944856453658,-0.03875560136013227,-0.13666672164365706,-0.10860759714420175,-0.04279819187667691,0.19087865765754997,-0.03398438484442611,0.22986636296674737,0.18013811732279889,0.25253441173844904,-0.048110992525337,0.010112224491591429,0.05628955677438596,0.20125946794113872,0.06652058548982703,0.030858658032593612,0.03515167096331945,-0.024526872983985995,-0.013917079741722764,0.3822678384141367,0.2061378496448584,0.043865800367530315,-0.09702128972962171,0.008308118129670788,-0.30905756538740453,0.35086987001998,1.0,0.9319836797292763,0.3648306028910423,0.32296516648058105,0.36635854516869903,-0.48336698513108234,-0.026213241011184402,0.12749191792405826,0.12740814822581695,0.02431016007958053,-0.010248148183904971,-0.01818998524567553,-0.007508989326935301,0.02035061617453361,0.3800926465635783
MonthlyLoanPayment,0.277266549153955,0.09102577974802471,-0.22665286681437624,-0.24474235007586478,-0.24421415143689282,-0.25158754935515676,-0.3287027419279995,-0.25273126791280304,0.32926206009188796,0.17542487866637418,-0.11826343626074118,0.08116016139589148,0.17970314529329168,-0.093558480031019,0.29253204530382054,0.29253204530382054,0.1869216856239856,0.20500986514383876,0.13482898838034393,0.21692285036036976,0.26122148808766366,-0.06383031669776021,-0.0442911899553824,-0.1585579768729674,-0.02963755433582384,-0.12124654445939842,-0.0941007555310453,-0.03658621416643927,0.19302114695996425,-0.015391075631788594,0.19623769231866908,0.16625616176937807,0.22053435936133972,-0.026890409389840553,0.02759839784968652,0.03028615153913971,0.1968302555351417,0.04947215340305999,0.03291944124567461,0.03546737208047857,-0.012609583676730027,-0.005652030088266879,0.3397238140904819,0.17031099510063408,0.005669314706672912,-0.0544550782554572,-0.01094988396423,-0.25666097493907425,0.2857373830451069,0.9319836797292763,1.0,0.4253505616485535,0.3871997459972576,0.3904761451110323,-0.46205325591438223,-0.03941928679709561,0.18246971437923215,0.1833548489071036,0.04184174530686218,-0.00845251040175567,-0.009981952260713984,-0.0028574999197084586,0.026683899542474628,0.38740934257969883
LP_CustomerPayments,-0.38081436548110703,-0.06969554143010702,-0.11134989332144361,-0.08105506412328066,-0.07905241165282599,-0.006059311728592006,-0.08526058641289602,0.16794988697956528,0.1037114148922254,0.1852895114887511,-0.06022857534585089,-0.03929058704133831,0.09457151863816317,0.09484790000123064,0.21012454165125255,0.21012454165125255,0.022195429169778826,0.003470933192268923,0.01749197824498852,0.022116825024062273,0.05565059272500625,0.017710890668707416,0.01589447837703587,-0.07693221568356014,-0.015313638039565501,-0.07659685499389496,-0.06899843873601327,-0.0011197388717814765,0.0799523982091791,-0.10406686428368038,0.1278569781480578,0.03108330692762932,0.05504326761513658,-0.012670021203782321,0.021246006812126947,0.02114949736944895,0.08572883334632944,-0.030252974358415563,-0.024916115108299625,-0.021846121774609373,-0.027058888427654863,-0.0036675160957802687,0.10167155121390135,-0.01174595556240573,0.06721887167869806,-0.08340086340604692,0.4841099036233207,0.2959445458333323,-0.3828477075863446,0.3648306028910423,0.4253505616485535,1.0,0.9774300449629575,0.6871885109973702,-0.7031245393563517,-0.054825799264952645,-0.026592503188829015,-0.028020375817760245,0.0013026332256506317,-0.05139401897890888,0.080796104415794,0.07549631770640955,0.07477042026400438,0.5626069774041377
